roi,x,y
0,226.27291242362526,414.97749999999996
0,75.050916496945,327.6175
0,62.729124236252545,290.65749999999997
0,52.64765784114053,251.45749999999998
0,58.24847250509165,195.45749999999998
0,67.20977596741345,159.61749999999998
0,94.09368635437882,128.2575
0,137.78004073319755,83.4575
0,184.82688391038698,64.41749999999999
0,235.23421588594707,48.7375
0,300.20366598778,43.137499999999996
0,384.21588594704684,58.817499999999995
0,455.9063136456212,102.49749999999999
0,510.7942973523422,189.8575
0,498.47250509164974,291.7775
0,457.0264765784114,343.29749999999996
0,411.09979633401224,379.1375
0,349.49083503054993,407.1375
